Artist_ID,Best_Model,Lowest_MAPE,RMSE,MAE,MSE
436lvfnz,LSTM,0.1173919087530077,23553.626701303943,20072.051875000005,554773330.784378
5jwhbt0o,Prophet,0.1956336811251427,2659.129087664891,2376.568947401021,7070967.504865514
5t4iv6o3,XGBoost,0.1348391750354026,46968.057323484616,45620.15285714285,2205998408.742137
65m1vtnc,LSTM,0.0781030395290765,62780.76813552279,53594.315,3941424847.686274
67gc5xm9,XGBoost,0.1249106481872861,57224.79157618192,49809.27805555556,3274676770.937461
6ygz70qs,XGBoost,0.1413975890555368,1291.3889268478538,1132.4171571180552,1667685.3603852512
al0gcvtm,XGBoost,0.051727052028958,27834.07294268985,23250.31486111112,774735616.5789793
awrkf92m,XGBoost,0.1807683798771285,447.3650140175312,322.8405737304688,200135.45576690588
bpgx7194,XGBoost,0.1465979783436496,116570.782289742,91514.38444444444,13588747283.64243
hfiatnv8,XGBoost,0.2576576543174614,683.0985613214452,655.5433830915179,466623.6444794283
jla6nu3p,XGBoost,0.2012908085901921,906.5580739669434,792.0817829241072,821847.5414746541
k74pw1av,LSTM,0.0678608461101752,56911.22057993379,49434.725,3238887027.897879
kcw3uapo,SARIMAX,0.0761434246571901,2044.7927213582664,1803.144010451616,4181177.273319746
pymr5w10,LSTM,0.205202505170827,3078.607497479558,2634.855983072917,9477824.123537345
r976ytqo,XGBoost,0.0676612376335274,533.2152984294753,470.7263448660715,284318.55447923444
