Artist_ID,Model,MSE,MAE,RMSE,MAPE
436lvfnz,SARIMAX,1287213764.9341793,28829.697734697114,35877.761425905315,0.18738809862293532
5jwhbt0o,SARIMAX,43781495.18948446,6138.251995293819,6616.758661873989,0.5078500185984446
5t4iv6o3,SARIMAX,14342467717.587244,112119.75539932554,119760.04224108826,0.3364916773342381
65m1vtnc,SARIMAX,19767638297.792995,133194.4682543818,140597.4334680153,0.19327695807272965
67gc5xm9,SARIMAX,4174349214.076649,58968.899196121805,64609.20378766983,0.15469550026256618
6ygz70qs,SARIMAX,88238904.50104357,6728.435750832534,9393.556541642978,0.853347927354864
al0gcvtm,SARIMAX,1601111575.2244008,29146.012490702404,40013.89227786271,0.065426381751791
awrkf92m,SARIMAX,303743.8731173708,464.5198634284717,551.129633677387,0.23872680340770752
bpgx7194,SARIMAX,298532076384.111,416678.53292861884,546380.8894755663,0.7056592791692211
hfiatnv8,SARIMAX,1667230.7413184417,1048.886193963917,1291.2128954275672,0.47094592585294964
jla6nu3p,SARIMAX,9958071.584930288,2709.233156748596,3155.641231973351,0.6472756989256734
k74pw1av,SARIMAX,79769574691.51408,222240.69708317827,282435.08049021475,0.30276823064579383
kcw3uapo,SARIMAX,4181177.273319746,1803.1440104516162,2044.7927213582666,0.07614342465719016
pymr5w10,SARIMAX,26332778.534712944,4825.270359520616,5131.54738209762,0.3559503271028951
r976ytqo,SARIMAX,19572535.850641433,3326.490069319694,4424.085877403538,0.4830362221244625
