Artist_ID,Model,MSE,MAE,RMSE,MAPE
436lvfnz,LSTM,554773330.784378,20072.051875000005,23553.626701303943,0.11739190875300771
5jwhbt0o,LSTM,17563031.67543197,4070.7980078125,4190.827087274297,0.33901453667142084
5t4iv6o3,LSTM,3447654416.1740623,50328.634374999994,58716.730291919885,0.140750267449924
65m1vtnc,LSTM,3941424847.686274,53594.315,62780.76813552279,0.07810303952907652
67gc5xm9,LSTM,3733280309.9396486,54375.769687500004,61100.57536504586,0.12971550724235675
6ygz70qs,LSTM,21996665.21677009,4304.650092773438,4690.060257264302,0.5534553319329015
al0gcvtm,LSTM,1351403640.4650974,34554.267187499994,36761.442306649195,0.07395051970763375
awrkf92m,LSTM,301101.87073977373,497.8331263950892,548.7275013517855,0.27315045428127077
bpgx7194,LSTM,15070330847.409142,101501.9425,122761.27584629097,0.15556484082234734
hfiatnv8,LSTM,428312.6116166685,623.559269205729,654.4559661403267,0.27194283273369174
jla6nu3p,LSTM,902969.731513361,799.3129524739583,950.2471949515879,0.21718607804213405
k74pw1av,LSTM,3238887027.897879,49434.725,56911.22057993379,0.06786084611017522
kcw3uapo,LSTM,36224489.65670959,4734.598085937499,6018.678397846955,0.21495970139450327
pymr5w10,LSTM,9477824.123537345,2634.855983072917,3078.607497479558,0.20520250517082705
r976ytqo,LSTM,778561.6199949792,678.4108496093751,882.361388544954,0.09314722264780072
