Artist_ID,Model,MSE,MAE,RMSE,MAPE
436lvfnz,Prophet,23295096943.1086,127273.26264746177,152627.31388289778,0.7832815934057723
5jwhbt0o,Prophet,7070967.504865514,2376.5689474010214,2659.129087664891,0.19563368112514273
5t4iv6o3,Prophet,14614866033.27316,113201.88867026365,120891.96016804906,0.3397045106733952
65m1vtnc,Prophet,2194352348088.3174,1237463.1347610434,1481334.6509443156,1.8130098747904906
67gc5xm9,Prophet,53651547864.94286,195613.02330600872,231628.0377349488,0.5163122591977768
6ygz70qs,Prophet,2134955467.1945648,41393.495891862476,46205.57831252158,5.312392011411176
al0gcvtm,Prophet,5232944101.63785,59706.01394473091,72339.0911032054,0.13359416264062543
awrkf92m,Prophet,73511518.15671405,7816.155756570104,8573.88582596678,4.055799588124943
bpgx7194,Prophet,3818200176215.157,1549130.9888468573,1954021.5393426851,2.5114418199725654
hfiatnv8,Prophet,20044313.259757183,4189.38510159937,4477.087586786435,1.7708592568018502
jla6nu3p,Prophet,60359953.5242962,6530.74059065496,7769.166848787339,1.76480778217938
k74pw1av,Prophet,56808510892.50169,193194.25535551246,238345.36054327068,0.26556138393207596
kcw3uapo,Prophet,6642192.429415986,2146.959373110869,2577.2451240454384,0.09344236753707766
pymr5w10,Prophet,93862485.98437718,8074.301477009444,9688.26537541046,0.6166779400182573
r976ytqo,Prophet,1364811.3569160283,985.5476269936273,1168.2514099781897,0.14045548551691464
